"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",5.734317,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",5.820946,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",6.535944,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",6.433209,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",5.636731,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",14.6,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",14.5,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",14.2,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",14.3,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",14.1,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",14.2,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",14.4,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",14.9,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",15,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",15.3,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",15.5,
"EU27_2020","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",15.3,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",14.2,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",14.2,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",14,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",14,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",13.8,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",13.4,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",13.7,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",13.9,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",13.8,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",13.9,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",13.9,
"EU27_2020","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",14.4,
